section,object_name,details
SCHEMA,profiles.user_id,uuid (nullable=NO)
SCHEMA,items.author_id,uuid (nullable=YES)
SCHEMA,items.parent_id,uuid (nullable=YES)
SCHEMA,items.start_at,timestamp with time zone (nullable=YES)
SCHEMA,items.end_at,timestamp with time zone (nullable=YES)
SCHEMA,items.data,jsonb (nullable=YES)
SCHEMA,items.is_deleted,boolean (nullable=YES)
SCHEMA,items.created_at,timestamp with time zone (nullable=YES)
SCHEMA,items.updated_at,timestamp with time zone (nullable=YES)
SCHEMA,interactions.item_id,uuid (nullable=NO)
SCHEMA,interactions.answer_index,integer (nullable=YES)
SCHEMA,interactions.created_at,timestamp with time zone (nullable=YES)
SCHEMA,profiles.dob,date (nullable=YES)
SCHEMA,profiles.created_at,timestamp with time zone (nullable=YES)
SCHEMA,profiles.updated_at,timestamp with time zone (nullable=YES)
SCHEMA,items.id,uuid (nullable=NO)
SCHEMA,profiles.email,text (nullable=NO)
SCHEMA,profiles.display_name,text (nullable=YES)
SCHEMA,profiles.avatar_url,text (nullable=YES)
SCHEMA,profiles.role,text (nullable=YES)
SCHEMA,items.visibility,text (nullable=YES)
SCHEMA,items.body,text (nullable=YES)
SCHEMA,items.media_urls,ARRAY (nullable=YES)
SCHEMA,interactions.user_email,text (nullable=NO)
SCHEMA,items.kind,text (nullable=NO)
SCHEMA,interactions.type,text (nullable=NO)
SCHEMA,items.author_email,text (nullable=NO)
ROLES,pg_database_owner,super=false createrole=false createdb=false login=false replication=false
ROLES,pg_read_all_data,super=false createrole=false createdb=false login=false replication=false
ROLES,pg_write_all_data,super=false createrole=false createdb=false login=false replication=false
ROLES,pg_monitor,super=false createrole=false createdb=false login=false replication=false
ROLES,pg_read_all_settings,super=false createrole=false createdb=false login=false replication=false
ROLES,pg_read_all_stats,super=false createrole=false createdb=false login=false replication=false
ROLES,pg_stat_scan_tables,super=false createrole=false createdb=false login=false replication=false
ROLES,pg_read_server_files,super=false createrole=false createdb=false login=false replication=false
ROLES,pg_write_server_files,super=false createrole=false createdb=false login=false replication=false
ROLES,pg_execute_server_program,super=false createrole=false createdb=false login=false replication=false
ROLES,pg_signal_backend,super=false createrole=false createdb=false login=false replication=false
ROLES,pg_checkpoint,super=false createrole=false createdb=false login=false replication=false
ROLES,pg_maintain,super=false createrole=false createdb=false login=false replication=false
ROLES,pg_use_reserved_connections,super=false createrole=false createdb=false login=false replication=false
ROLES,pg_create_subscription,super=false createrole=false createdb=false login=false replication=false
ROLES,supabase_etl_admin,super=false createrole=false createdb=false login=true replication=true
ROLES,dashboard_user,super=false createrole=true createdb=true login=false replication=true
ROLES,authenticated,super=false createrole=false createdb=false login=false replication=false
ROLES,anon,super=false createrole=false createdb=false login=false replication=false
ROLES,service_role,super=false createrole=false createdb=false login=false replication=false
ROLES,supabase_admin,super=true createrole=true createdb=true login=true replication=true
ROLES,authenticator,super=false createrole=false createdb=false login=true replication=false
ROLES,pgbouncer,super=false createrole=false createdb=false login=true replication=false
ROLES,supabase_auth_admin,super=false createrole=true createdb=false login=true replication=false
ROLES,supabase_storage_admin,super=false createrole=true createdb=false login=true replication=false
ROLES,supabase_replication_admin,super=false createrole=false createdb=false login=true replication=true
ROLES,supabase_read_only_user,super=false createrole=false createdb=false login=true replication=false
ROLES,supabase_realtime_admin,super=false createrole=false createdb=false login=false replication=false
ROLES,postgres,super=false createrole=true createdb=true login=true replication=true
GRANTS,public.profiles → postgres,INSERT
GRANTS,public.profiles → postgres,SELECT
GRANTS,public.profiles → postgres,UPDATE
GRANTS,public.profiles → postgres,DELETE
GRANTS,public.profiles → postgres,TRUNCATE
GRANTS,public.profiles → postgres,REFERENCES
GRANTS,public.profiles → postgres,TRIGGER
GRANTS,public.profiles → anon,INSERT
GRANTS,public.profiles → anon,SELECT
GRANTS,public.profiles → anon,UPDATE
GRANTS,public.profiles → anon,DELETE
GRANTS,public.profiles → anon,TRUNCATE
GRANTS,public.profiles → anon,REFERENCES
GRANTS,public.profiles → anon,TRIGGER
GRANTS,public.profiles → authenticated,INSERT
GRANTS,public.profiles → authenticated,SELECT
GRANTS,public.profiles → authenticated,UPDATE
GRANTS,public.profiles → authenticated,DELETE
GRANTS,public.profiles → authenticated,TRUNCATE
GRANTS,public.profiles → authenticated,REFERENCES
GRANTS,public.profiles → authenticated,TRIGGER
GRANTS,public.items → postgres,INSERT
GRANTS,public.items → postgres,SELECT
GRANTS,public.items → postgres,UPDATE
GRANTS,public.items → postgres,DELETE
GRANTS,public.items → postgres,TRUNCATE
GRANTS,public.items → postgres,REFERENCES
GRANTS,public.items → postgres,TRIGGER
GRANTS,public.items → anon,INSERT
GRANTS,public.items → anon,SELECT
GRANTS,public.items → anon,UPDATE
GRANTS,public.items → anon,DELETE
GRANTS,public.items → anon,TRUNCATE
GRANTS,public.items → anon,REFERENCES
GRANTS,public.items → anon,TRIGGER
GRANTS,public.items → authenticated,INSERT
GRANTS,public.items → authenticated,SELECT
GRANTS,public.items → authenticated,UPDATE
GRANTS,public.items → authenticated,DELETE
GRANTS,public.items → authenticated,TRUNCATE
GRANTS,public.items → authenticated,REFERENCES
GRANTS,public.items → authenticated,TRIGGER
GRANTS,public.interactions → postgres,INSERT
GRANTS,public.interactions → postgres,SELECT
GRANTS,public.interactions → postgres,UPDATE
GRANTS,public.interactions → postgres,DELETE
GRANTS,public.interactions → postgres,TRUNCATE
GRANTS,public.interactions → postgres,REFERENCES
GRANTS,public.interactions → postgres,TRIGGER
GRANTS,public.interactions → anon,INSERT
GRANTS,public.interactions → anon,SELECT
GRANTS,public.interactions → anon,UPDATE
GRANTS,public.interactions → anon,DELETE
GRANTS,public.interactions → anon,TRUNCATE
